0	5 ans (bons de commande, de livraison, correspondances commerciales)	à compter de l'émission  ou de l'échéance contractuelle (Article L. 110-4 du Code de Commerce)	\N	2021-12-02 11:04:41	0	0	\N	0	111
0	2 ans (données et échanges de prospection)	à compter de la dernière communication (appel, visite, mail)	\N	2021-12-02 11:04:41	0	0	\N	0	112
0	6 ans (RH : déclaration des données sociales)	Article L. 102 B du Livre des Procédures Fiscales	\N	2021-12-02 11:04:41	0	0	\N	0	113
0	5 ans après l'échéance (données contractuelles)	Article L. 110-4 du Code de Commerce	\N	2021-12-02 11:04:41	0	0	\N	0	114
0	Tant que l'année fiscale n'est pas terminée (comptabilité clôturée)	Eléments comptables (commandes, bon de transport, de livraisons, factures, paiements, ...), fiscaux et sociaux (déclarations) 	\N	2021-12-02 11:04:41	0	0	\N	0	115
0	2 ans après l'achat (données de garantie pour les biens et services)	Art L218-2	\N	2021-12-02 11:04:41	0	0	\N	0	116
0	30 ans (Contrat d'acquisition de biens fonciers)	à compter de la cession du bien (Art 2227)	\N	2021-12-02 11:04:41	0	0	\N	0	117
0	10 ans (livres et registres comptables)	Articles L. 102 B, L. 169, L. 169 A et\
L. 176 du Livre des Procédures Fiscales	\N	2021-12-02 11:04:41	0	0	\N	0	118
0	10 ans (comptabilité, pièces justificatives clients, fournisseurs)	&#60;p&#62;à compter de la clôture de l'exercice &#60;a href="https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006219327/2003-01-04" target="_blank" rel="noopener"&#62;Art L123-22&#60;/a&#62; du code du commerce&#60;/p&#62;	\N	2021-12-02 11:04:41	0	0	\N	0	119
0	Tant que la personne n'a pas retiré son consentement		\N	2021-12-02 11:04:41	0	0	\N	0	120
0	5 ans (bon de transport de marchandises)	L110-4	\N	2021-12-02 11:04:41	0	0	\N	0	122
0	1 an (RH : comptabilisation des horaires et compensation )	Art 3171-16	\N	2021-12-02 11:04:41	0	0	\N	0	123
0	6 mois (journaux et logs des outils informatiques et numériques)		\N	2021-12-02 11:04:41	0	0	\N	0	124
