1	G3 - Définir et vérifier les règles de choix des mots de passe	Conformité RGPD > G - AUTHENTIFIER ET CONTRÔLER LES ACCÈS > G3 - Définir et vérifier les règles de choix des mots de passe		3	{"1":"1"}	\N	2019-09-30 08:47:54	1	20
1	D - RESPECTER LES DROITS	Conformité RGPD > D - RESPECTER LES DROITS		2	{"2":2,"46":46,"5":5,"24":24,"25":25,"26":26,"27":27,"28":28,"49":49,"73":73}	{"75":75}	2019-09-30 08:48:22	2	75
1	A - SE PRÉPARER AU RGPD	Conformité RGPD > A - SE PRÉPARER AU RGPD		2	\N	{"75":75}	2019-10-29 18:59:17	4	75
1	D1a - Etablir les politiques, les publier	Conformité RGPD > D - RESPECTER LES DROITS > D1a - Etablir les politiques, les publier		3	{"5":"5"}	\N	2019-12-12 14:27:18	5	2
1	B2 - Registres des traitements	Conformité RGPD > B - INVENTAIRE CARTOGRAPHIE REGISTRE > B2 - Registres des traitements		3	{"6":"6"}	\N	2019-12-19 14:05:28	6	7
1	B - INVENTAIRE CARTOGRAPHIE REGISTRE	Conformité RGPD > B - INVENTAIRE CARTOGRAPHIE REGISTRE		2	{"7":7,"12":12,"6":6}	{"75":75}	2019-12-19 14:05:41	7	75
1	E - SENSIBILISER, FORMER, FORMALISER	Conformité RGPD > E - SENSIBILISER, FORMER, FORMALISER		2	{"8":8,"54":54,"9":9,"13":13}	{"75":75}	2020-04-29 05:50:27	8	75
1	E2 - Former les équipes, établir des chartes	Conformité RGPD > E - SENSIBILISER, FORMER, FORMALISER > E2 - Former les équipes, établir des chartes		3	{"9":"9"}	\N	2020-04-29 05:50:40	9	8
1	G4 - Protéger les mots de passe stockés sur les systèmes	Conformité RGPD > G - AUTHENTIFIER ET CONTRÔLER LES ACCÈS > G4 - Protéger les mots de passe stockés sur les systèmes		3	{"10":"10"}	\N	2020-04-29 06:52:30	10	20
1	H - SÉCURISER L'EXPLOITATION (RÉSEAUX, SERVEURS, CLOUD)	Conformité RGPD > H - SÉCURISER L'EXPLOITATION (RÉSEAUX, SERVEURS, CLOUD)		2	{"11":11,"35":35,"36":36,"37":37,"38":38,"39":39,"40":40,"41":41,"42":42}	{"75":75}	2020-04-29 07:02:56	11	75
