A1  - Vue d'ensemble		A - SE PRÉPARER AU RGPD > A1  - Vue d'ensemble	36	2	{"4":4}	{"36":36}	0	4
C1 - Audit traitements et éléments d'inventaire		C - AUDIT PLAN D'ACTION > C1 - Audit traitements et éléments d'inventaire	42	2	{"5":"5"}	{"42":42}	0	5
B2 - Elaboration du registre des traitements	\N	B - INVENTAIRE CARTOGRAPHIE REGISTRE > B2 - Elaboration du registre des traitements	40	2	{"11":11}	{"40":40}	0	11
N - Numérique responsable		N - Numérique responsable	0	1	{"22":22}	[]	0	22
Habiliter ses fournisseurs		Habiliter ses fournisseurs	0	1	{"23":23}	[]	48	23
D2 - Maîtriser et contractualiser l'usage des DCP avec les tierces-parties		D - RESPECTER LES DROITS > D2 - Maîtriser et contractualiser l'usage des DCP avec les tierces-parties	44	2	{"25":25}	{"44":44}	24	25
D4 - Donner l'accès aux données et à la maîtrise des droits		D - RESPECTER LES DROITS > D4 - Donner l'accès aux données et à la maîtrise des droits	44	2	{"26":26}	{"44":44}	26	26
D8 - Procédurer la notification des violations et la réponse aux demandes de droits		D - RESPECTER LES DROITS > D8 - Procédurer la notification des violations et la réponse aux demandes de droits	44	2	{"27":27}	{"44":44}	0	27
B1 - Inventaire des activités, personnes, DCP, bases légales, durée de rétention		B - INVENTAIRE CARTOGRAPHIE REGISTRE > B1 - Inventaire des activités, personnes, DCP, bases légales, durée de rétention	40	2	{"28":28}	{"40":40}	12	28
F1 - Identifier les informations et les supports ; maintenir un schéma		F - CONNAITRE SON SYSTÈME D'INFORMATION > F1 - Identifier les informations et les supports ; maintenir un schéma	52	2	{"29":29}	{"52":52}	16	29
E3 - Sensibiliser les utilisateurs, faire connaître les règles et adopter les bonnes pratiques		E - SENSIBILISER, FORMER, FORMALISER > E3 - Sensibiliser les utilisateurs, faire connaître les règles et adopter les bonnes pratiques	51	2	{"30":30}	{"51":51}	9	30
E2 - Former les responsables de traitement, rédiger charte, procédures, bonnes pratiques		E - SENSIBILISER, FORMER, FORMALISER > E2 - Former les responsables de traitement, rédiger charte, procédures, bonnes pratiques	51	2	{"31":31}	{"51":51}	9	31
M3 - Procéder à des contrôles et audits de sécurité réguliers		M - SUPERVISER, AUDITER, GERER > M3 - Procéder à des contrôles et audits de sécurité réguliers	32	2	{"33":33}	{"32":32}	0	33
M2 - Définir et appliquer une politique de sauvegarde		M - SUPERVISER, AUDITER, GERER > M2 - Définir et appliquer une politique de sauvegarde	32	2	\N	{"32":32}	0	35
A3 - Former la direction, le référent, organiser le projet et les délais		A - SE PRÉPARER AU RGPD > A3 - Former la direction, le référent, organiser le projet et les délais	36	2	\N	{"36":36}	0	38
D1 - Informer, obtenir le consentement		D - RESPECTER LES DROITS > D1 - Informer, obtenir le consentement	44	2	{"45":45}	{"44":44}	0	45
E1 - Connaitre, analyser et maîtriser ses risques		E - SENSIBILISER, FORMER, FORMALISER > E1 - Connaitre, analyser et maîtriser ses risques	51	2	{"50":50}	{"51":51}	0	50
M5 - Etablir la PSSI ; définir les procédures de gestion des incidents de sécurité		M5 - Etablir la PSSI ; définir les procédures de gestion des incidents de sécurité	0	1	{"75":75}	[]	50	75
