5	0	Listes et fiches	1	Base de données comportant des enregistrements (fiches) et des données que l'on modifie (champs) 
6	0	GED	1	La GED – ou Gestion Electronique des Documents – permet la gestion de documents et de données associées, et permet d’optimiser leur gestion et leur exploitation par des moyens électroniques spécialisés et performants (contirnt des documents, formulaires, photos, plans, ...) 
7	0	Journal, logs	1	Le journal, ou log (diminutif de logging) désigne un fichier, ou tout autre dispositif, permettant de stocker un historique des évènements attachés à un processus. Ces évènements sont horodatés et ordonnés en fonction du temps. Le log est le « journal de bord » d’un système. 
8	0	Multimédia (photos, vidéos, sons)	1	Base de données d'images, de photos, sons, vidéos
9	0	Dossiers &#38; Fichiers	1	Un système de fichiers est un système de classement, d’organisation sur un support de stockage qui structure et organise l’écriture, la recherche, la lecture, le stockage, la modification et la suppression de fichiers d’une manière spécifique
10	0	Papier (documents, dossiers, classeurs)	1	Documents papiers, classeur, livres
11	0	Archives physiques	1	Armoires ou pièces dédiées à l'archivage
12	0	Services d'annuaire	1	Un annuaire est une base de données spécialisée. C'est un référentiel central d'informations qui contient les noms des périphériques et services réseau, les utilisateurs, groupes et adresses e-mail, ou les applications et services disponibles
13	0	Sauvegarde	1	Fichiers ou base de données contenant une ou plusieurs copie ou duplication de données utilisées en production. 
14	0	Boites e-mail (adresses de messagerie)	1	Boîte aux lettres électronique où sont envoyés et reçus les e-mails entre différents utilisateurs via Internet
15	0	Carnet d'adresses	1	Un carnet d'adresses est un carnet ou une base de données dans lequel son utilisateur note les informations nécessaires pour contacter les personnes qu'il fréquente
16	0	Agenda, tâches	1	Outil permettant d'associer des actions à des moments, et d'organiser ainsi son temps. Il est utilisé afin de pouvoir donner à son utilisateur la possibilité de planifier, de noter son emploi du temps, ses rendez-vous, etc. 
17	0	Fil de discussion	1	Suite de messages consécutifs sur un même thème, classés de manière arborescente.  Utilisés par les réseaux sociaux, les forums, les newsgroups et listes de diffusion
18	0	Blog, news, annonces	1	Publication périodique et régulière d'articles personnels
19	0	Articles de presse, journaux	1	
20	0	SIG	1	Système d’Information Géographique. Il fait référence au traitement des informations liées à l’espace et au temps (spatio-temporelles) sur Terre. Il est couramment utilisé sur les cartes pour afficher la position d’objets, soit sous forme instantanée, soit au fil du temps.
21	0	Papier (livres, revues)	1	
22	0	Plans, schémas, organigrammes	1	
23	0	SMS	0	
