Description des processus d'un traitement	5	1	1	bb25c530-7771e958-5e82fb66c575f0.04211361	14	5
MESURES ORGANISATIONNELLES	36	2	1	b49e2eaa-8ac668dd-6183a0ac1f8585.54565807	162	36
MESURES HUMAINES	36	3	1	b49e2eaa-8ac668dd-6183a0ac2f3b87.95203560	163	36
MESURES TECHNIQUES	36	4	1	b49e2eaa-8ac668dd-6183a0ac35c816.51308327	164	36
DOCUMENTATION, PROCEDURES DE SECURITE ET DE CONFIDENTIALITE	36	5	1	b49e2eaa-8ac668dd-6183a0ac3e0325.54916453	165	36
DESCRIPTION DE L'ORGANISME	36	1	1	b49e2eaa-8ac668dd-6183a0ac3ead09.12281221	166	36
SENSIBILITÉ DE L'ORGANISME	36	6	1	b49e2eaa-8ac668dd-6183a0ac445ae2.11246143	167	36
CONCLUSIONS DE L'AUDITEUR	36	7	1	b49e2eaa-8ac668dd-6183a0ac496568.07130233	168	36
L’AVIS DE LA DIRECTION	36	8	1	b49e2eaa-8ac668dd-6183a0ac4e9343.14843201	169	36
Personne demandeuse	37	2	1	b49e2eaa-8ac668dd-6183a0ac8eac85.89241809	170	37
MES DEMANDES	37	1	1	b49e2eaa-8ac668dd-6183a0ac9281a7.46497030	171	37
Consentement	37	3	1	b49e2eaa-8ac668dd-6183a0ac9e7b27.44021856	172	37
Mesures générales	38	1	1	b49e2eaa-8ac668dd-6183a0acaefdd9.38994264	173	38
Impacts potentiels sur les personnes	39	1	1	b49e2eaa-8ac668dd-6183a0accc15d6.89684444	174	39
Sources de risques	39	2	1	b49e2eaa-8ac668dd-6183a0acd0f769.39861820	175	39
Principales menaces réalisables	39	4	1	b49e2eaa-8ac668dd-6183a0acd5a826.21562524	176	39
Mesures existantes ou prévues	39	3	1	b49e2eaa-8ac668dd-6183a0acdd9af0.03715096	177	39
Gravité, vraisemblance de la menace	39	5	1	b49e2eaa-8ac668dd-6183a0ace4d6c5.65204923	178	39
Références	39	6	1	b49e2eaa-8ac668dd-6183a0ace95f16.78983935	179	39
Descriptif	40	1	1	b49e2eaa-8ac668dd-6183a0ad02fff9.86001334	180	40
PARTIE 1 - GOUVERNANCE DES DONNEES	41	1	1	b49e2eaa-8ac668dd-6183a0ad397195.89295225	181	41
PARTIE 2 - SECURITE DES TRAITEMENTS : CONTROLES, NOTIFICATIONS, SOUS-TRAITANCE	41	2	1	b49e2eaa-8ac668dd-6183a0ad408b55.35249097	182	41
PARTIE 3 - LEGALITE DES TRAITEMENTS ET POLITIQUE DE TRANSPARENCE	41	3	1	b49e2eaa-8ac668dd-6183a0ad48d2a6.21453500	183	41
PARTIE 4 - CONSERVATION DES DONNÉES ARCHIVAGE, SUPPRESSION	41	4	1	b49e2eaa-8ac668dd-6183a0ad4c7098.67610586	184	41
PARTIE 5 - INFORMATION ET DROIT DES PERSONNES	41	5	1	b49e2eaa-8ac668dd-6183a0ad50ae37.51974566	185	41
FIN DU QUESTIONNAIRE	41	6	1	b49e2eaa-8ac668dd-6183a0ad53d906.97664992	186	41
Description	42	1	1	b49e2eaa-8ac668dd-6183a0ad674184.33238917	187	42
Pourquoi le rgpd	43	1	1	b49e2eaa-8ac668dd-6183a0ad757121.35755956	188	43
Généralités	44	1	1	b49e2eaa-8ac668dd-6183a0ad7e4e91.30610771	189	44
Généralités	47	1	1	b49e2eaa-8ac668dd-6183a0ad949120.99646429	190	47
Validation	47	2	1	52cffd3e-8047bc27-6387838cacb985.41512000	191	47
Identification	48	1	1	b49e2eaa-8ac668dd-6183a0adb3acd8.22237563	192	48
MESURES ORGANISATIONNELLES	48	2	1	b49e2eaa-8ac668dd-6183a0adb6b8b5.03968625	193	48
